0.8274509#MBR(3191 2238,3191 2561,3843 2561,3843 2238,3191 2238)#59
0.8358995#MBR(3220 1750,3220 2227,3848 2227,3848 1750,3220 1750)#84
0.77674097#MBR(2549 3074,2549 3814,3034 3814,3034 3074,2549 3074)#58
0.7894638#MBR(3202 2560,3202 3185,3670 3185,3670 2560,3202 2560)#58
0.78603846#MBR(4475 2884,4475 3512,5122 3512,5122 2884,4475 2884)#59
0.7724949#MBR(4486 4313,4486 5042,5107 5042,5107 4313,4486 4313)#53
0.7829671#MBR(4178 4491,4178 5122,5074 5122,5074 4491,4178 4491)#62
0.77752316#MBR(3193 4406,3193 5120,4159 5120,4159 4406,3193 4406)#99
0.79658294#MBR(2555 4320,2555 4959,3187 4959,3187 4320,2555 4320)#59
0.78383994#MBR(1450 3846,1450 4478,2073 4478,2073 3846,1450 3846)#52
0.76479954#MBR(2119 3962,2119 4475,2550 4475,2550 3962,2119 3962)#51
0.81943864#MBR(816 2864,816 6032,2492 6032,2492 2864,816 2864)#71
0.7477425#MBR(1394 5130,1394 5760,2238 5760,2238 5130,1394 5130)#62
0.79236215#MBR(1915 5687,1915 6088,2546 6088,2546 5687,1915 5687)#53
0.76135665#MBR(1618 6386,1618 6727,2546 6727,2546 6386,1618 6386)#69
0.7823346#MBR(1921 6555,1921 7353,2560 7353,2560 6555,1921 6555)#73
0.7641815#MBR(2082 7033,2082 7681,2564 7681,2564 7033,2082 7033)#52
0.7750882#MBR(2251 7683,2251 8295,2884 8295,2884 7683,2251 7683)#53
0.79341984#MBR(2559 7673,2559 8308,3366 8308,3366 7673,2559 7673)#78
0.7942648#MBR(3839 7674,3839 8309,4960 8309,4960 7674,3839 7674)#89
0.810218#MBR(4154 6405,4154 7041,4803 7041,4803 6405,4154 6405)#59
0.74588466#MBR(3559 7201,3559 7675,4472 7675,4472 7201,3559 7201)#54
0.78743476#MBR(2560 5907,2560 6411,3487 6411,3487 5907,2560 5907)#61
0.7536153#MBR(3548 5119,3548 5763,4486 5763,4486 5119,3548 5119)#56
0.7809099#MBR(3841 5442,3841 6402,4302 6402,4302 5442,3841 5442)#61
0.7616467#MBR(7034 6728,7034 7500,7678 7500,7678 6728,7034 6728)#59
0.77896965#MBR(5804 6399,5804 7020,6405 7020,6405 6399,5804 6399)#62
0.79994553#MBR(5128 6431,5128 7321,5602 7321,5602 6431,5128 6431)#56
0.7610016#MBR(5801 8000,5801 8952,6399 8952,6399 8000,5801 8000)#63
0.7414272#MBR(7034 8406,7034 9607,7682 9607,7682 8406,7034 8406)#61
0.78925866#MBR(9275 9602,9275 10230,10147 10230,10147 9602,9275 9602)#83
0.7981048#MBR(8956 8013,8956 8963,9602 8963,9602 8013,8956 8013)#94
0.73943824#MBR(9602 6597,9602 7329,10247 7329,10247 6597,9602 6597)#51
0.74438894#MBR(8024 5768,8024 6396,8966 6396,8966 5768,8024 5768)#58
0.76860076#MBR(8643 5115,8643 6084,9600 6084,9600 5115,8643 5115)#137
0.749682#MBR(9619 5767,9619 6397,10236 6397,10236 5767,9619 5767)#56
0.7898143#MBR(8956 4522,8956 5131,9623 5131,9623 4522,8956 4522)#68
0.7250972#MBR(8322 3198,8322 3841,8801 3841,8801 3198,8322 3198)#51
0.73591113#MBR(8346 4473,8346 5109,8962 5109,8962 4473,8346 4473)#51
0.8091573#MBR(6414 3855,6414 4325,7045 4325,7045 3855,6414 3855)#52
0.7376777#MBR(6602 4484,6602 5126,7046 5126,7046 4484,6602 4484)#54
0.79873#MBR(5762 4489,5762 5124,6622 5124,6622 4489,5762 4489)#54
0.818813#MBR(5757 3731,5757 4484,6407 4484,6407 3731,5757 3731)#84
0.82878107#MBR(5112 2877,5112 3517,5752 3517,5752 2877,5112 2877)#63
0.72469753#MBR(6405 2889,6405 3831,7040 3831,7040 2889,6405 2889)#52
0.79392874#MBR(7641 788,7641 1826,8271 1826,8271 788,7641 788)#53
0.76506716#MBR(7720 2075,7720 2566,8316 2566,8316 2075,7720 2075)#58
0.74719805#MBR(11524 2555,11524 4163,13070 4163,13070 2555,11524 2555)#56
0.76291674#MBR(13426 2883,13426 3513,14082 3513,14082 2883,13426 2883)#57
0.76870465#MBR(12797 4500,12797 5121,13440 5121,13440 4500,12797 4500)#59
0.7572883#MBR(13617 4160,13617 5118,14088 5118,14088 4160,13617 4160)#52
0.78091973#MBR(14724 4188,14724 5125,15359 5125,15359 4188,14724 4188)#53
0.80150306#MBR(14762 3358,14762 4368,15364 4368,15364 3358,14762 3358)#62
0.7994151#MBR(14728 3203,14728 3671,15334 3671,15334 3203,14728 3203)#57
0.8299072#MBR(14100 2873,14100 3506,14726 3506,14726 2873,14100 2873)#59
0.78671825#MBR(14727 1938,14727 2725,15358 2725,15358 1938,14727 1938)#67
0.78010035#MBR(12963 1316,12963 2281,13707 2281,13707 1316,12963 1316)#53
0.8305482#MBR(14871 2,14871 1290,16283 1290,16283 2,14871 2)#108
